approach,term,vocabulary
Healing Touch,Therapeutic Touch,"Natrual Medicine,Integrative Nursing, Lindquist, Duke, Cochrane, MESH"
Health coaching,Health coaching,"Natrual Medicine,Integrative Nursing"
Health coaching,Seen by health coach,"SNOMED, Integrative Nursing"
Healthy lifestyle support,Healthy lifestyle support,Integrative Nursing
Heart Coherence,Heart Coherence,Duke
Heat therapies,Heat therapies,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist"
Hellerwork,Hellerwork,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist"
Homeopathic remedies,Homeopathic remedies,"Natrual Medicine,Integrative Nursing, NCCIH, MESH, Duke"
Horticultural Therapy,Horticultural Therapy,"Natrual Medicine,MESH, Cochrane"
Humor,Humor,"NIC, Lindquist"
Hydrotherapy,Hydrotherapy,"Natrual Medicine,Mayo,Integrative Nursing, NCCIH, Cochrane"
Hydrotherapy,Ice packs,Duke
Hydrotherapy,Thermal baths,"Integrative Nursing, Mayo, Duke"
Hypnosis,Hypnosis,"Natrual Medicine,Integrative Nursing, Cochrane"
Hypnotherapy,Hypnotherapy,"Natrual Medicine,Integrative Nursing, Mayo, Duke"
Hypnotherapy,Hypnoanalgesia,Natrual Medicine
Hypnotherapy,Antenatal Self-Hypnosis,Natrual Medicine
Increase activity of preference,Increase activity of preference,Integrative Nursing
Integrative interventions,Integrative interventions,Integrative Nursing
Interpersonal Psychotherapy,Interpersonal Psychotherapy,"Integrative Nursing, NCCIH, Lindquist"
"intravenous therapy, hydration","intravenous therapy, hydration","Integrative Nursing, NCCIH, Lindquist"
Jin Shin Jyutsu,Jin Shin Jyutsu,Lindquist
Kundalini Yoga,Kundalini Yoga,Natrual Medicine
Kundalini Yoga,Kundalini,"Natrual Medicine,Duke"
Kundalini Yoga,Yoga of Awareness,Natrual Medicine
Light Therapy,Light Therapy,"Natrual Medicine,Integrative Nursing, Duke, Cochrane, Lindquist"
Light Therapy,Phototherapy,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist, Cochrane"
Light Therapy,Light Treatment,Natrual Medicine
Light Therapy,Photophoresis,Natrual Medicine
Light Therapy,Photomedicine,Natrual Medicine
Low level Laser Therapy,Low level Laser Therapy,"Integrative Nursing, Cochrane"
Low level Laser Therapy,Cold Laser Therapy,"Integrative Nursing, Cochrane"
Lowering lights as the evening progresses,Lowering lights as the evening progresses,Integrative Nursing
Magnet Therapy,Magnet Therapy,Natrual Medicine
Magnet Therapy,Magnetic,Natrual Medicine
Magnet Therapy,Magnet,Natrual Medicine
Magnet Therapy,Magnetoterapia,Natrual Medicine
Manipulation,Manipulation,Mayo
Manipulative Therapy,Manipulative Therapy,Natrual Medicine
Mantra Meditation,Mantra Meditation,Natrual Medicine
Manual Lymph Drainage,Manual Lymph Drainage,"Integrative Nursing, NCCIH, Lindquist"
Massage,Massage,"Natrual Medicine, Mayo, Cochrane"
Mechanical therapies,Mechanical therapies,"Integrative Nursing, NCCIH, Lindquist"
"Medicine, Traditional","Medicine, Traditional",Lindquist
Meditation,Meditation,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist, Cochrane"
Mindfulness,Mindfulness,Natrual Medicine
Mindfulness interventions,Mindfulness interventions,Integrative Nursing
Mindfulness-Based Stress Reduction,Mindfulness-Based Stress Reduction,Natrual Medicine
Mobilization,Mobilization,Natrual Medicine
Morita therapy,Morita therapy,Cochrane
Movement therapies,Movement therapies,"Natrual Medicine,Integrative Nursing"
Moxibustion,Moxibustion,"Natrual Medicine,MESH, Duke, Cochrane,Mayo"
Multi-modal sensory stimulation,Multi-modal sensory stimulation,Integrative Nursing
Music therapy,Music therapy,"Natrual Medicine,Integrative Nursing, Lindquist, Mayo, Duke, Cochrane"
Music therapy,Music Intervention,"Natrual Medicine,Integrative Nursing, Lindquist, Mayo"
Music therapy,Music In Therapy,Natrual Medicine
Myofascial Release,Myofascial Release,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist, Cochrane"
Myofascial Release,Myotherapy,"Integrative Nursing, NCCIH, Lindquist, Cochrane"
Myofascial Release,Soft Tissue Mobilization,Natrual Medicine
Naprapathy,Naprapathy,"Integrative Nursing, NCCIH, Lindquist, Cochrane"
Narrative Therapy and family therapy,Narrative Therapy and family therapy,"Integrative Nursing, NCCIH, Lindquist"
Nature-based therapies,Nature-based therapies,"Natrual Medicine,Integrative Nursing"
Naturopathy,Naturopathy,"Integrative Nursing, NCCIH, Mayo, Duke, Cochrane"
Naturopathy,Naturopathic Medicine,Natrual Medicine
Neurocranial Restructuring,Neurocranial Restructuring,"Integrative Nursing, NCCIH, Lindquist"
Neurolinguistic Patterning,Neurolinguistic Patterning,Duke
Neurolinguistic Programming,Neurolinguistic Programming,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist"
Neuromuscular Massage,Neuromuscular Massage,Natrual Medicine
Neuromuscular Therapy,Neuromuscular Therapy,Natrual Medicine
Oakley Smith naprapathic method,Oakley Smith naprapathic method,"Integrative Nursing, NCCIH, Lindquist"
Osteopathic Manipulation,Osteopathic Manipulation,"Natrual Medicine,NCCIH, Integrative Nursing, Mayo, Cochrane"
Osteopathic Manipulation,Osteopathy,"Natrual Medicine,Integrative Nursing, NCCIH,Lindquist"
Pilates,Pilates,"Natrual Medicine,NCCIH, Mayo, Cochrane"
Play therapy,Play therapy,Cochrane
Polarity Therapy,Polarity Therapy,Duke
Positive self-talk,Positive self-talk,Integrative Nursing
Positive thinking,Positive thinking,Mayo
Practitioner-guided detoxification,Practitioner-guided detoxification,Mayo
