approach,term,vocabulary
Electroacupuncture,Electro-acupuncture,"Duke, Cochrane, MESH"
Equine Therapy,Equine Therapy,Natural Medicines
Equine Therapy,Equine-Assisted Activity,Natural Medicines
Equine Therapy,Equine-Assisted Activities and Therapies,Natural Medicines
Horse-Riding Therapy,Therapeutic Horseback Riding,"Natural Medicines,Integrative Nursing, Lindquist, Mayo"
Horse-Riding Therapy,Horse-Riding Therapy,Natural Medicines
Horse-Riding Therapy,Hippotherapy,"Natural Medicines,Cochrane"
Canine Therapy,Dog-Assisted Therapy,Natural Medicines
Canine Therapy,Canine Therapy,Natural Medicines
Autogenic Relaxation,Autogenic Relaxation,Natural Medicines
Autogenic Relaxation,Autogenic Relaxation Technique,"Natural Medicines,Mayo"
Autogenic Relaxation,Autogenic Relaxation Training,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist"
Electromyography Biofeedback,Electromyography Biofeedback,"Natural Medicines,Integrative Nursing"
Gem Therapy,Gem Therapy,Natural Medicines
Gem Therapy,Gemstone Therapy,Natural Medicines
Face Training,Face Training,"Natural Medicines,NCCIH, Mayo, Duke, Cochrane"
Face Training,Facial Training,Natural Medicines
Attentional Focus and Symptom Management Intervention,Attentional Focus and Symptom Management Intervention,Natural Medicines
Ultraviolet Therapy,Ultraviolet Therapy,Natural Medicines
Pulsed Electromagnetic Field Therapy,Pulsed Electromagnetic Field Therapy,"Natural Medicines,Cochrane"
Guided Imagery and Music,Guided Imagery and Music,Natural Medicines
Baduanjin Qi Gong,Baduanjin Qi Gong,Natural Medicines
Baduanjin Qi Gong,Baduanjin,"Natural Medicines,Cochrane"
Japanese Reiki,Japanese Reiki,Natural Medicines
Japanese Reiki,Reiki Japonais,Natural Medicines
Whole Body Vibration Therapy,Whole Body Vibration Exercise,Natural Medicines
Whole Body Vibration Therapy,Whole Body Vibration Therapy,Natural Medicines
Whole Body Vibration Therapy,Whole-body vibration therapy,Cochrane
Raja Yoga,Raja Yoga,Natural Medicines
Raja Yoga,Raja,Duke
Bhakti Yoga,Bhakti Yoga,"Natural Medicines,Duke"
Bhakti Yoga,Bhakti,"Natural Medicines,Duke"
Foot Massage,Foot Massage,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist"
Foot Massage,Foot Reflexion Massage,Natural Medicines
